title,summary,publication_date,source,url,category
Beyoncé Cowboy Carter tour: What does Chitlin' Circuit mean?,Pre-sale sign-up done. Phone ready. Hoping and praying that you'll bag tickets for Beyoncé's upcoming Cowboy Carter and the Rodeo Chitlin' Circuit Tour. All of that doesn't leave you much time to think about the meaning behind the name.,2025-02-11,BBC,https://www.bbc.com/news/articles/c2egl1k2nwdo,entertainment
Marc Fogel: Trump welcomes back schoolteacher released by Russia,"Donald Trump has welcomed home American schoolteacher Marc Fogel after he was released from prison in Russia, with the US president saying Vladimir Putin had got ""not much"" in return. Trump said that another detainee would be freed on Wednesday without giving their name. Mr Fogel, a 63-year-old former diplomat, landed at Joint Base Andrews just outside Washington DC late on Tuesday evening, before travelling to the White House. His release was negotiated as part of an exchange with Russia, US National Security Advisor Mike Waltz said earlier.",2025-02-12,BBC,https://www.bbc.com/news/articles/c15z8983kvzo,politics
Dozens evacuated as fire breaks out in Buenos Aires skyscraper,"More than 100 people were evacuated from a luxury residential tower in the Argentine capital, Buenos Aires, as a fire spread through several floors, emergency services said. Forty people were treated for smoke inhalation and several others were admitted to hospital before the blaze was controlled. The cause of the fire is not yet known. The 50-floor building is located in the exclusive neighbourhood of Puerto Madero.",2025-02-12,BBC,https://www.bbc.com/news/articles/cvgeypyp7d1o,emergency
Goldman Sachs axes diversity rule that has 'served its purpose',"Goldman Sachs' international boss has said the bank ditched an internal diversity rule that barred it from advising all male, all white boards on company flotations because it was no longer needed. The investment bank had pledged that it would only help a business sell its shares on a stock exchange if it had two diverse board members, one of which had to be a woman. But Richard Gnodde told the BBC: ""That policy was put in place to try and drive a change in behaviour and I think that's happened."" In a wide-ranging interview, he also said the UK government needed to get on and start infrastructure projects now and warned that uncertainty over US policy was dampening firms' ""animal spirit"". Goldman Sachs introduced its diversity policy on boards in 2020, initially mandating that companies who wanted to float had to have one diverse member, before increasing it to two people.",2025-02-12,BBC,https://www.bbc.com/news/articles/c4gwvxn5377o,business
'Ineffective' generic drugs fuel rare public anger in China,"Public anger in China over concerns raised by doctors that generic drugs used in public hospitals are increasingly ineffective has led to a rare response from the government. Doctors say they believe the country's drug procurement system, which incentivises the use of cheap generic drugs over original brand-name pharmaceuticals, has led to costs being cut at the expense of people's safety. But officials, quoted by multiple state media outlets on Sunday, say the issue is one of perception rather than reality. One report said different people simply had different reactions to medicines and that claims about them being ineffective had ""mostly come from people's anecdotes and subjective feelings"".",2025-02-11,BBC,https://www.bbc.com/news/articles/ceve1xpdjxro,health
"Nigeria oil: Shell ignored warnings of spill clean-up 'scam', whistleblower tells BBC","A BBC investigation has uncovered allegations that energy giant Shell has ignored repeated warnings that a controversial clean-up operation of oil-polluted areas of southern Nigeria has been beset by problems and corruption. The multinational headquartered in London, along with the Nigerian government, has repeatedly stated that work to clean up oil-contaminated sites of Ogoniland, which kicked off around eight years ago, is going well. But the BBC has discovered evidence that they were warned repeatedly over several years that the scheme, set up by the government and funded by various oil firms to the tune of $1bn (£805m), has been suffering from a string of issues. One close observer has described the clean-up project as a ""con"" and a ""scam"" that has wasted money and left the people of Ogonliland in the Niger Delta region continuing to live with the devastating impact of oil pollution - 13 years after a ground-breaking UN report lifted the lid on the seriousness of their situation.",2025-02-12,BBC,https://www.bbc.com/news/articles/c0rqe85q1jno,environment
Trump insists US will take Gaza as he meets Jordan's king,"President Donald Trump has once again insisted the US will take control of the Gaza Strip, as he met Jordan's King Abdullah at the White House on Tuesday. It was their first meeting since Trump announced his proposal to take over the enclave and move its population of two million Palestinians to other countries in the region, including Jordan. Earlier this week, Trump suggested he could withhold aid to Jordan and Egypt unless they agreed to take in those Palestinians from Gaza. Jordan, a key US ally in the Middle East, is already home to millions of Palestinians and has rejected the proposal.",2025-02-11,BBC,https://www.bbc.com/news/articles/cly9m7kv7lro,politics
Google maps changes Gulf of Mexico to Gulf of America for US users,"Google Maps has changed the Gulf of Mexico's name to the Gulf of America for people using the app in the US. Explaining the move, Google said it was making the change as part of ""a longstanding practice"" of following name changes when updated by official government sources. It said the Gulf - which is bordered by the US, Cuba and Mexico - would not be changed for people using the app in Mexico, and users elsewhere in the world will see the label: ""Gulf of Mexico (Gulf of America)"". It comes after President Donald Trump ordered the body of water to be renamed in US government documents after he returned to office last month.",2025-02-11,BBC,https://www.bbc.com/news/articles/cp820m733p3o,environment
Sperm donation: Judge warns over man who 'fathered 180 children',"A sperm donor who claims to have fathered more than 180 children has been used by a judge to warn of the dangers of unregulated sperm donation. Robert Charles Albon, who calls himself Joe Donor, claims to have fathered children all over the world from China to Australia after advertising online. But using him as a donor turned into a ""horror story"" for a couple after he took them to court as he wanted parental rights over their child. The BBC has approached Mr Albon for a response.",2025-02-12,BBC,https://www.bbc.com/news/articles/c5yer90xpzno,health
The goods facing higher prices from US metal tariffs,"A 25% tax is set to be imposed on all imports of steel and aluminium into the US , ending exemptions from the rules for goods from major trade partners including Canada, Mexico, Brazil, as well as the European Union. The expanded tariff measures announced by President Donald Trump, expected to go into effect next month, will mean many US businesses wanting to bring the metals into the country will have to pay more. But there is a risk that the companies will pass on the added costs, or some portion of it, to consumers. Since steel and aluminium are key components in many goods, what items could get more expensive?",2025-02-11,BBC,https://www.bbc.com/news/articles/c3vp06k90d5o,business
